Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving
0,1,1,1,1
0,1,1,1,1
1,1,0,0,1
1,1,1,1,1
0,0,0,0,1
1,1,1,1,1
1,0,1,1,1
0,1,1,1,1
1,1,1,1,0
1,1,0,0,1
1,0,1,1,1
0,1,1,1,0
1,1,0,0,1
1,1,1,1,1
1,0,0,0,1
1,1,1,0,1
1,1,1,1,1
1,1,1,1,1
1,0,0,1,1
0,1,1,1,1
1,1,0,1,0
1,1,0,1,1
1,1,1,1,1
0,1,0,1,0
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,1,1
1,0,1,0,1
1,1,1,1,1
0,1,1,1,1
0,1,0,1,1
1,1,0,1,0
1,0,1,1,0
0,1,1,1,1
0,1,0,0,1
0,1,1,1,0
1,0,0,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,0,0,0
0,1,1,1,0
1,1,1,1,1
1,1,1,0,0
0,0,0,0,0
0,0,0,0,1
1,1,1,1,1
1,1,1,1,0
0,0,1,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
1,1,1,1,1
1,1,0,0,0
1,1,1,1,1
1,1,1,1,1
1,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,0,0,1,1
0,0,1,0,1
1,1,1,1,1
1,0,0,1,1
1,0,0,1,0
1,1,0,0,0
0,0,1,1,0
1,1,1,1,1
1,1,0,1,0
0,1,1,1,0
1,0,0,1,0
0,1,1,1,1
1,1,1,1,1
1,1,1,0,1
1,0,1,0,0
