Area Code,Area Name,,,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
K04000001,ENGLAND AND WALES8,4876282,,1395196,726,512012,586174,295571,713,150463,77059,2009658,437510,309778,127732,457010,99393,99868,382092,533785,590201,,136107,38712,386062,92824
E92000001,ENGLAND,4585568,,1309678,686,482514,549697,276102,679,140100,75536,1904909,420410,298486,121924,440993,91910,90583,359289,501724,549356,,126468,36875,355872,86774
E12000001,North East,271421,,79726,21,24174,32220,23272,39,8242,1518,97217,19940,13986,5954,16111,2195,3665,26811,28495,42863,,5289,1668,28663,6235
E23000013,Cleveland,57222,,14201,3,5543,6039,2605,11,1690,481,26323,5879,4329,1550,4396,488,963,8267,6330,9555,,1263,323,2504,882
E23000008,Durham,61179,,21291,3,5785,7808,7689,6,2010,259,19144,4711,3292,1419,3702,282,534,4422,5493,10167,,1144,256,5208,1700
E23000007,Northumbria,153020,,44234,15,12846,18373,12978,22,4542,778,51750,9350,6365,2985,8013,1425,2168,14122,16672,23141,,2882,1089,20951,3653
E12000002,North West9,708310,,206708,138,72703,87617,46170,80,21002,9772,256280,65013,46923,18090,57455,10584,9644,46252,67332,93261,,16962,4927,84696,14702
E23000006,Cheshire,87320,,26830,5,9930,10323,6564,8,2700,381,25396,4931,3489,1442,3749,587,1397,7532,7200,10368,,2356,460,17098,1731
E23000002,Cumbria,28533,,9303,3,3944,4112,1228,16,1339,95,9229,2055,1148,907,1171,163,269,2843,2728,5141,,852,209,1761,604
E23000005,Greater Manchester,340005,,94211,88,28017,45851,20233,22,9550,6939,122948,31970,23464,8506,30863,6648,4343,17400,31724,40707,,4817,2862,50223,7748
E23000003,Lancashire,127028,,41408,14,17167,15225,8987,15,4176,935,50673,13252,8635,4617,9971,1519,1652,9510,14769,19045,,2056,540,6083,2112
E23000004,Merseyside,125424,,34956,28,13645,12106,9158,19,3237,1422,48034,12805,10187,2618,11701,1667,1983,8967,10911,18000,,6881,856,9531,2507
E12000003,Yorkshire and The Humber,533145,,156250,60,55433,63002,37646,109,16427,5777,215970,54997,39361,15636,46979,7290,7352,44963,54389,70639,,10439,3705,40946,12992
