Area Code,Area Name,,,Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
K04000001,ENGLAND AND WALES6,5257081,,1671039,701,547060,678481,444054,743,162030,85736,2015998,422870,296150,126720,468315,104101,98283,374395,548034,573577,,151471,46196,447896,103138
E92000001,ENGLAND,4932611,,1566259,672,515351,635455,414067,714,151395,83921,1908295,406620,285486,121134,452509,94794,88649,350890,514833,532705,,140192,43609,409361,96874
E12000001,North East,291705,,94972,37,25044,36458,33368,65,8669,1652,96840,18843,12634,6209,15720,2208,3580,27900,28589,41731,,5913,2177,32762,6989
E23000013,Cleveland,67307,,21968,15,5899,7989,8060,5,1795,580,26082,5480,3959,1521,4082,504,1041,8614,6361,9456,,1333,426,4137,1530
E23000008,Durham,63621,,24767,8,5753,8517,10473,16,1900,219,18532,4250,3007,1243,3033,296,500,4991,5462,9625,,1344,317,5123,1794
E23000007,Northumbria,160777,,48237,14,13392,19952,14835,44,4974,853,52226,9113,5668,3445,8605,1408,2039,14295,16766,22650,,3236,1434,23502,3665
E12000002,North West7,765081,,254801,138,78992,105617,69995,59,22494,10825,254367,60762,43198,17564,57379,12401,9512,45137,69176,86890,,19376,6500,92840,16988
E23000006,Cheshire7,93901,,33250,20,10441,13090,9697,2,2863,473,24927,4529,3211,1318,3741,638,1570,6924,7525,9886,,2084,510,18133,1775
E23000002,Cumbria,37076,,14411,4,5008,5756,3636,7,1649,141,9935,2052,1232,820,1182,221,286,2926,3268,5608,,1007,277,3295,753
E23000005,Greater Manchester,333749,,98262,66,28829,45146,24188,33,9548,7607,122471,30061,21774,8287,32084,7367,4087,17582,31290,35198,,5435,3846,43216,8166
E23000003,Lancashire,165368,,63324,27,20018,23537,19741,1,5231,1129,53791,13903,9278,4625,10350,1890,1679,9190,16779,20249,,2211,765,15194,3474
E23000004,Merseyside,134987,,45554,21,14696,18088,12733,16,3203,1475,43243,10217,7703,2514,10022,2285,1890,8515,10314,15949,,8639,1102,13002,2820
E12000003,Yorkshire and The Humber,588832,,201207,81,60830,76540,63622,134,17803,6892,209076,52665,37585,15080,44782,7306,7023,44246,53054,68198,,12299,4681,53880,14796
